"Brand Information","Brand Information"
"Page Title","Page Title"
"If empty, option label by store will be used.","If empty, option label by store will be used."
"Url Key","Url Key"
"Brand Image","Brand Image"
"If empty, option visual image or default image from configuration will be used.","If empty, option visual image or default image from configuration will be used."
Featured,Featured
Enabled,Enabled
Disabled,Disabled
"If 'Enabled', this brand will be displayed on featured brand slider.","If 'Enabled', this brand will be displayed on featured brand slider."
"Short Description","Short Description"
Description,Description
"CMS Block","CMS Block"
"Meta Information","Meta Information"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Custom Brand Category","Custom Brand Category"
"Add New Category","Add New Category"
"Save Category","Save Category"
"Delete Category","Delete Category"
"Save and Continue Edit","Save and Continue Edit"
"Edit Category '%1'","Edit Category '%1'"
"New Category","New Category"
Brands,Brands
"Category Information","Category Information"
Name,Name
"Url key","Url key"
"Stores view","Stores view"
Status,Status
"Meta Robots","Meta Robots"
Category,Category
ID,ID
"Store View","Store View"
Edit,Edit
Delete,Delete
"Are you sure?","Are you sure?"
"Use following code to show featured brand block in any place which you want.","Use following code to show featured brand block in any place which you want."
"CMS Page/Static Block","CMS Page/Static Block"
"Template .phtml file","Template .phtml file"
"Layout file","Layout file"
Home,Home
"Go to Home Page","Go to Home Page"
"More from this Brand (%1)","More from this Brand (%1)"
"Brand option has been saved successfully.","Brand option has been saved successfully."
"Attribute option does not exist.","Attribute option does not exist."
"You have to choose an attribute as brand in configuration.","You have to choose an attribute as brand in configuration."
"Delete successfully !","Delete successfully !"
"Cannot find category to delete.","Cannot find category to delete."
"The category does not exist.","The category does not exist."
"Brand Categories","Brand Categories"
"Please select category.","Please select category."
"Cannot delete category with ID %1","Cannot delete category with ID %1"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The category has been saved successfully.","The category has been saved successfully."
"Something went wrong while saving the category.","Something went wrong while saving the category."
"Please enter the category name.","Please enter the category name."
"Please enter the category url key.","Please enter the category url key."
"The url key ""%1"" has been used.","The url key ""%1"" has been used."
"Logo Only","Logo Only"
"Logo and Label","Logo and Label"
"Label Only","Label Only"
"List View","List View"
"AlphaBet View","AlphaBet View"
"-- Please select --","-- Please select --"
Toplink,Toplink
"Footer link","Footer link"
"Slider View","Slider View"
"Simple View","Simple View"
Listing,Listing
"Mega Listing","Mega Listing"
"INDEX,FOLLOW","INDEX,FOLLOW"
"NOINDEX,NOFOLLOW","NOINDEX,NOFOLLOW"
"NOINDEX,FOLLOW","NOINDEX,FOLLOW"
"INDEX,NOFOLLOW","INDEX,NOFOLLOW"
"-- Please Select --","-- Please Select --"
"Brand By OptionID Widget","Brand By OptionID Widget"
"Featured Brand Widget","Featured Brand Widget"
Add/Update,Add/Update
"Note: Please select the brand attribute in Mageplaza_Shopbybrand configuration first.","Note: Please select the brand attribute in Mageplaza_Shopbybrand configuration first."
"File directory '%1' is not readable.","File directory '%1' is not readable."
"File directory '%1' is not writable.","File directory '%1' is not writable."
"There is no sample file for this entity.","There is no sample file for this entity."
"Sort Option","Sort Option"
Configure,Configure
"Choose a color","Choose a color"
"Upload a file","Upload a file"
Clear,Clear
Selected,Selected
"Option Id","Option Id"
"Store view","Store view"
"All store view","All store view"
"No brand found","No brand found"
All,All
"All Category","All Category"
"Related Products","Related Products"
Loading...,Loading...
"There is no brand available.","There is no brand available."
"Search a brand name","Search a brand name"
Search,Search
"View All","View All"
"No categories available.","No categories available."
"Brand Configuration","Brand Configuration"
Save,Save
Cancel,Cancel
Close,Close
"Shop by brand","Shop by brand"
General,General
Enable,Enable
"Select <b>Yes</b> to enable Shop By Brand.<br>The extension is fully compatible with <a href=""https://goo.gl/Z1QtsG"" target=""_blank"">Layered Navigation</a>","Select <b>Yes</b> to enable Shop By Brand.<br>The extension is fully compatible with <a href=""https://goo.gl/Z1QtsG"" target=""_blank"">Layered Navigation</a>"
"Brand Attribute","Brand Attribute"
"Brand route","Brand route"
"Custom brand page URL. Default: <strong>brand</strong>","Custom brand page URL. Default: <strong>brand</strong>"
"Brand Link Title","Brand Link Title"
"Enter the title of brand link. Default: 'Brands'","Enter the title of brand link. Default: 'Brands'"
"Show Brand Link In","Show Brand Link In"
"Show brand logos in product page","Show brand logos in product page"
"Select <b>Yes</b> to display brand logos in the product page, <a href=""https://goo.gl/1eS5r8"">learn more</a>","Select <b>Yes</b> to display brand logos in the product page, <a href=""https://goo.gl/1eS5r8"">learn more</a>"
"Show brands in drop-down category menu","Show brands in drop-down category menu"
"Select <b>Yes</b> to allow brand names to show up in the drop-down category menu","Select <b>Yes</b> to allow brand names to show up in the drop-down category menu"
Sidebar,Sidebar
"Featured Brand Settings","Featured Brand Settings"
"Show Featured Brands","Show Featured Brands"
"Select <b>Yes</b> to enable displaying the featured brands block in the sidebar","Select <b>Yes</b> to enable displaying the featured brands block in the sidebar"
Title,Title
"Enter the title of the featured brand name block. Default: Featured Brand","Enter the title of the featured brand name block. Default: Featured Brand"
"Show Title","Show Title"
"Select <b>Yes</b> to show featured brand title","Select <b>Yes</b> to show featured brand title"
"Brand List Thumbnail","Brand List Thumbnail"
"Show Brand Thumbnail","Show Brand Thumbnail"
"Select <b>Yes</b> to enable displaying the <b>Brand List Thumbnail</b> block in the sidebar","Select <b>Yes</b> to enable displaying the <b>Brand List Thumbnail</b> block in the sidebar"
"Enter the block's name.Default: Brand List","Enter the block's name.Default: Brand List"
"Brand's quantity limit","Brand's quantity limit"
"Enter the maximum number of brand names displayed in the <b>Brand List Thumbnail</b> block.","Enter the maximum number of brand names displayed in the <b>Brand List Thumbnail</b> block."
"Category Brand","Category Brand"
"Show Category Brand","Show Category Brand"
