"EAN";"Deeplink";"Dealer item number";"Price excl. VAT";"Price incl. VAT";"VAT Prices";"Delivery time";"Manufacturer";"SKU";"Shipping cost excl. VAT";"Shipping cost incl. VAT";"VAT Shipping cost";"Number in stock";
"5709193014225";"https://www.keengardener.co.uk/dancook-7000-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-101-422";"41.65833333333334";"49.99";"20";"1 Day";"Char-Broil";"CHAR-101-422";"3.49";"2.91";"20";"0.0000";
"5709193015017";"https://www.keengardener.co.uk/dancook-7100-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-101-501";"49.99166666666667";"59.99";"20";"1 Day";"Char-Broil";"CHAR-101-501";"3.49";"2.91";"20";"0.0000";
"5709193016212";"https://www.keengardener.co.uk/dancook-7400-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-101-621";"62.49166666666667";"74.99";"20";"1 Day";"Char-Broil";"CHAR-101-621";"3.49";"2.91";"20";"0.0000";
"5709193045113";"https://www.keengardener.co.uk/dancook-5200-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-104-511";"70.825";"84.99";"20";"1 Day";"Char-Broil";"CHAR-104-511";"0.00";"0.00";"20";"0.0000";
"5709193046110";"https://www.keengardener.co.uk/dancook-5300-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-104-611";"79.15833333333333";"94.99";"20";"1 Day";"Char-Broil";"CHAR-104-611";"0.00";"0.00";"20";"0.0000";
"5709193046127";"https://www.keengardener.co.uk/dancook-5600-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-104-612";"95.825";"114.99";"20";"1 Day";"Char-Broil";"CHAR-104-612";"0.00";"0.00";"20";"0.0000";
"5709193090007";"https://www.keengardener.co.uk/dancook-1000-charcoal-kettle-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-109-000";"141.65833333333336";"169.99";"20";"1 Day";"Char-Broil";"CHAR-109-000";"0.00";"0.00";"20";"0.0000";
"5709193090014";"https://www.keengardener.co.uk/dancook-1400-charcoal-kettle-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-109-001";"166.65833333333336";"199.99";"20";"1 Day";"Char-Broil";"CHAR-109-001";"0.00";"0.00";"20";"0.0000";
"5709193090045";"https://www.keengardener.co.uk/dancook-1600-charcoal-kettle-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-109-004";"124.99166666666667";"149.99";"20";"1 Day";"Char-Broil";"CHAR-109-004";"0.00";"0.00";"20";"0.0000";
"5709193090083";"https://www.keengardener.co.uk/dancook-1300-charcoal-kettle-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-109-008";"108.32500000000001";"129.99";"20";"1 Day";"Char-Broil";"CHAR-109-008";"0.00";"0.00";"20";"0.0000";
"5709193100003";"https://www.keengardener.co.uk/dancook-9000-fireplace.html?utm_source=Char+Broil+Connector";"CHAR-110-000";"141.65833333333336";"169.99";"20";"1 Day";"Char-Broil";"CHAR-110-000";"0.00";"0.00";"20";"0.0000";
"5709193402008";"https://www.keengardener.co.uk/char-broil-x200-grill2go-portable-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-691";"134.99166666666667";"161.99";"20";"1 Day";"Char-Broil";"CHAR-140-691";"0.00";"0.00";"20";"0.0000";
"5709193848042";"https://www.keengardener.co.uk/char-broil-smoker-box.html?utm_source=Char+Broil+Connector";"CHAR-140-551";"12.491666666666667";"14.99";"20";"1 Day";"Char-Broil";"CHAR-140-551";"3.49";"2.91";"20";"0.0000";
